center,left,right,steering_angle
dataset_images/center_8e25ce0e568649dbabbbc8cc50bc798a.jpg,dataset_images/left_8e25ce0e568649dbabbbc8cc50bc798a.jpg,dataset_images/right_8e25ce0e568649dbabbbc8cc50bc798a.jpg,-3.580545682993891e-14
dataset_images/center_7e1edb16a7194533822d733073be527e.jpg,dataset_images/left_7e1edb16a7194533822d733073be527e.jpg,dataset_images/right_7e1edb16a7194533822d733073be527e.jpg,-3.365513469051749e-14
dataset_images/center_5c302730173c450f956482c3395be8f6.jpg,dataset_images/left_5c302730173c450f956482c3395be8f6.jpg,dataset_images/right_5c302730173c450f956482c3395be8f6.jpg,1.631152075762887e-12
dataset_images/center_5e4615c7aa884baa997c20ad1ccaf216.jpg,dataset_images/left_5e4615c7aa884baa997c20ad1ccaf216.jpg,dataset_images/right_5e4615c7aa884baa997c20ad1ccaf216.jpg,-3.083635672873057e-12
dataset_images/center_617407a5965c40fa8edaeaae5f24d3a4.jpg,dataset_images/left_617407a5965c40fa8edaeaae5f24d3a4.jpg,dataset_images/right_617407a5965c40fa8edaeaae5f24d3a4.jpg,-2.2562025758556956e-12
dataset_images/center_276aec25d55046e1add8c6c0369d3371.jpg,dataset_images/left_276aec25d55046e1add8c6c0369d3371.jpg,dataset_images/right_276aec25d55046e1add8c6c0369d3371.jpg,-1.0933491740360938e-13
dataset_images/center_8c631a38cd064f0d9bd70cd96c1624b1.jpg,dataset_images/left_8c631a38cd064f0d9bd70cd96c1624b1.jpg,dataset_images/right_8c631a38cd064f0d9bd70cd96c1624b1.jpg,6.820140294733731e-13
dataset_images/center_e7e7d39fcc18440790303d544e1e5eff.jpg,dataset_images/left_e7e7d39fcc18440790303d544e1e5eff.jpg,dataset_images/right_e7e7d39fcc18440790303d544e1e5eff.jpg,4.142981016103701e-13
dataset_images/center_0d5ccedaa1784e09bc3ff96607204268.jpg,dataset_images/left_0d5ccedaa1784e09bc3ff96607204268.jpg,dataset_images/right_0d5ccedaa1784e09bc3ff96607204268.jpg,-5.028128572111392e-13
dataset_images/center_ac5bd4ce3d2f49cdb8d078a026996893.jpg,dataset_images/left_ac5bd4ce3d2f49cdb8d078a026996893.jpg,dataset_images/right_ac5bd4ce3d2f49cdb8d078a026996893.jpg,-1.211235507812198e-12
dataset_images/center_0efb342b2c2e4187b2329d5a60357fdb.jpg,dataset_images/left_0efb342b2c2e4187b2329d5a60357fdb.jpg,dataset_images/right_0efb342b2c2e4187b2329d5a60357fdb.jpg,-7.402026633871503e-13
dataset_images/center_38b5fa64231146fc8c0d7c48787eab24.jpg,dataset_images/left_38b5fa64231146fc8c0d7c48787eab24.jpg,dataset_images/right_38b5fa64231146fc8c0d7c48787eab24.jpg,-5.73780488963807e-13
dataset_images/center_cc6bc40c8df547a28096660d67950e1b.jpg,dataset_images/left_cc6bc40c8df547a28096660d67950e1b.jpg,dataset_images/right_cc6bc40c8df547a28096660d67950e1b.jpg,-7.958755461799041e-13
dataset_images/center_16d1fee57f964563b32516f285a8d9b6.jpg,dataset_images/left_16d1fee57f964563b32516f285a8d9b6.jpg,dataset_images/right_16d1fee57f964563b32516f285a8d9b6.jpg,-9.236727309762004e-13
dataset_images/center_afa728f1b42b419aa26ce9e5f191706a.jpg,dataset_images/left_afa728f1b42b419aa26ce9e5f191706a.jpg,dataset_images/right_afa728f1b42b419aa26ce9e5f191706a.jpg,-8.929861829395756e-13
dataset_images/center_083212a7380745e4b54d25f428110cc3.jpg,dataset_images/left_083212a7380745e4b54d25f428110cc3.jpg,dataset_images/right_083212a7380745e4b54d25f428110cc3.jpg,-8.231482189627132e-13
dataset_images/center_a45d67cab67449b7957e4cee02a66cc9.jpg,dataset_images/left_a45d67cab67449b7957e4cee02a66cc9.jpg,dataset_images/right_a45d67cab67449b7957e4cee02a66cc9.jpg,-7.984993274480656e-13
dataset_images/center_25eb20a8424d4cca8592122ff6a3e000.jpg,dataset_images/left_25eb20a8424d4cca8592122ff6a3e000.jpg,dataset_images/right_25eb20a8424d4cca8592122ff6a3e000.jpg,-8.242336087971673e-13
